,Country,City,Latitude,temp_min,temp_max,humid,wind_speed,cloud,found_city,url
1900257,mx,rancho alamo,29.366667,47.46,47.46,35,4.27,0,rancho alamo,"http://api.openweathermap.org/data/2.5/weather?q=rancho alamo,mx&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
1903923,mx,rincon viejo,16.9,82.2,82.2,79,3.04,0,rincon viejo,"http://api.openweathermap.org/data/2.5/weather?q=rincon viejo,mx&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
1967280,na,katima mulilo,-17.5,74.55,74.55,86,1.7,36,katima mulilo,"http://api.openweathermap.org/data/2.5/weather?q=katima mulilo,na&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
1968336,na,oshakati,-17.5,82.2,82.2,44,3.04,48,oshakati,"http://api.openweathermap.org/data/2.5/weather?q=oshakati,na&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
1977508,ne,tessaoua,13.753333300000001,78.28,78.28,37,5.88,8,tessaoua,"http://api.openweathermap.org/data/2.5/weather?q=tessaoua,ne&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
1984888,ng,barbo,8.6,87.06,87.06,59,2.04,48,barbo,"http://api.openweathermap.org/data/2.5/weather?q=barbo,ng&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
1990100,ng,emekeobibi,5.4166669999999995,86,86,74,5.82,40,emekeobibi,"http://api.openweathermap.org/data/2.5/weather?q=emekeobibi,ng&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
1994164,ng,guhipto,13.121913000000001,82.83,82.83,26,6.78,12,guhipto,"http://api.openweathermap.org/data/2.5/weather?q=guhipto,ng&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
1999762,ng,kadiawo,11.485965,80.04,80.04,37,4.05,20,kadiawo,"http://api.openweathermap.org/data/2.5/weather?q=kadiawo,ng&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
2000351,ng,kankarawai,12.060407000000001,84.58,84.58,26,7.34,20,kankarawai,"http://api.openweathermap.org/data/2.5/weather?q=kankarawai,ng&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
2002650,ng,kurmin sarki,11.695822,79.81,79.81,30,6.73,20,kurmin sarki,"http://api.openweathermap.org/data/2.5/weather?q=kurmin sarki,ng&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
2009004,ng,ofriyo,4.673932,82.29,82.29,67,10.54,20,ofriyo,"http://api.openweathermap.org/data/2.5/weather?q=ofriyo,ng&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
2013082,ng,rigin idi,12.186411,79.81,79.81,30,6.73,20,rigin idi,"http://api.openweathermap.org/data/2.5/weather?q=rigin idi,ng&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
2014186,ng,sape,8.897222,81.61,81.61,63,2.75,0,sape,"http://api.openweathermap.org/data/2.5/weather?q=sape,ng&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
2018866,ng,unguwar naiya,12.042961,80.94,80.94,30,5.55,20,unguwar naiya,"http://api.openweathermap.org/data/2.5/weather?q=unguwar naiya,ng&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
2027600,nl,electra,53.313134,37.4,39.2,100,3.36,24,electra,"http://api.openweathermap.org/data/2.5/weather?q=electra,nl&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
2042436,no,osa,60.6,33.8,33.8,100,89.7,90,osa,"http://api.openweathermap.org/data/2.5/weather?q=osa,no&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
2048016,nz,allanton,-45.916667,56.82,56.82,99,10.54,36,allanton,"http://api.openweathermap.org/data/2.5/weather?q=allanton,nz&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
2048110,nz,balclutha,-46.233889000000005,51.55,51.55,88,3.09,36,balclutha,"http://api.openweathermap.org/data/2.5/weather?q=balclutha,nz&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
2048111,nz,balfour,-45.833333,41.61,41.61,85,2.53,48,balfour,"http://api.openweathermap.org/data/2.5/weather?q=balfour,nz&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
2048224,nz,caversham,-45.9,56.82,56.82,99,10.54,36,caversham,"http://api.openweathermap.org/data/2.5/weather?q=caversham,nz&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
2048261,nz,clyde,-45.183333000000005,43.5,43.5,99,1.97,32,clyde,"http://api.openweathermap.org/data/2.5/weather?q=clyde,nz&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
2048262,nz,clydevale,-46.1,51.55,51.55,88,3.09,36,clydevale,"http://api.openweathermap.org/data/2.5/weather?q=clydevale,nz&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
2048295,nz,dacre,-46.316666999999995,49.08,49.08,88,2.75,68,dacre,"http://api.openweathermap.org/data/2.5/weather?q=dacre,nz&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
2048335,nz,east end,-46.604167,64.2,64.2,100,12.26,100,east end,"http://api.openweathermap.org/data/2.5/weather?q=east end,nz&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
2048390,nz,frankton,-45.016667,39.85,39.85,96,1.7,32,frankton,"http://api.openweathermap.org/data/2.5/weather?q=frankton,nz&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
2048417,nz,glenham,-46.4,49.08,49.08,88,2.75,68,glenham,"http://api.openweathermap.org/data/2.5/weather?q=glenham,nz&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
2048463,nz,gummies bush,-46.283333,49.89,49.89,92,3.27,32,gummies bush,"http://api.openweathermap.org/data/2.5/weather?q=gummies bush,nz&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
2048473,nz,haldane,-46.633333,56.91,56.91,89,3.2,48,haldane,"http://api.openweathermap.org/data/2.5/weather?q=haldane,nz&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
2048475,nz,halfway bush,-45.85,51.46,51.46,91,3.2,48,halfway bush,"http://api.openweathermap.org/data/2.5/weather?q=halfway bush,nz&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
2048518,nz,hazletts,-46.266667,49.89,49.89,92,3.27,32,hazletts,"http://api.openweathermap.org/data/2.5/weather?q=hazletts,nz&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
2048523,nz,hedgehope,-46.2,49.08,49.08,88,2.75,68,hedgehope,"http://api.openweathermap.org/data/2.5/weather?q=hedgehope,nz&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
2048526,nz,henley,-45.983333,56.82,56.82,99,10.54,36,henley,"http://api.openweathermap.org/data/2.5/weather?q=henley,nz&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
2048527,nz,herbert,-45.233333,57.54,57.54,96,9.64,64,herbert,"http://api.openweathermap.org/data/2.5/weather?q=herbert,nz&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
2048628,nz,invercargill,-46.4,49.08,49.08,88,2.75,68,invercargill,"http://api.openweathermap.org/data/2.5/weather?q=invercargill,nz&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
